# time  created  delivered  delivered/created
6556.6000 123 64 0.5203
6556.7000 123 65 0.5285
6556.8000 123 66 0.5366
6556.9000 123 67 0.5447
6557.0000 123 68 0.5528
6557.1000 123 69 0.5610
6557.2000 123 70 0.5691
6557.3000 123 71 0.5772
6557.4000 123 72 0.5854
6557.5000 123 73 0.5935
6557.6000 123 74 0.6016
6557.7000 123 75 0.6098
6557.8000 123 76 0.6179
6557.9000 123 77 0.6260
6558.0000 123 78 0.6341
6558.1000 123 79 0.6423
6571.0000 124 79 0.6371
6635.0000 125 79 0.6320
6685.0000 126 79 0.6270
6747.0000 127 79 0.6220
6809.0000 128 79 0.6172
6873.0000 129 79 0.6124
6925.0000 130 79 0.6077
6981.0000 131 79 0.6031
7038.0000 132 79 0.5985
7102.0000 133 79 0.5940
7171.0000 134 79 0.5896
7221.0000 135 79 0.5852
7283.0000 136 79 0.5809
7340.0000 137 79 0.5766
7393.0000 138 79 0.5725
7442.0000 139 79 0.5683
7496.0000 140 79 0.5643
7540.0000 141 79 0.5603
7594.0000 142 79 0.5563
7634.0000 143 79 0.5524
7687.0000 144 79 0.5486
7733.0000 145 79 0.5448
7773.0000 146 79 0.5411
7814.0000 147 79 0.5374
7865.0000 148 79 0.5338
7910.0000 149 79 0.5302
7950.0000 150 79 0.5267
8018.0000 151 79 0.5232
8065.0000 152 79 0.5197
8132.0000 153 79 0.5163
8193.0000 154 79 0.5130
8243.0000 155 79 0.5097
8298.0000 156 79 0.5064
8367.0000 157 79 0.5032
8414.0000 158 79 0.5000
8474.0000 159 79 0.4969
8526.0000 160 79 0.4938
8594.0000 161 79 0.4907
8637.0000 162 79 0.4877
8704.0000 163 79 0.4847
8759.0000 164 79 0.4817
8821.0000 165 79 0.4788
8867.0000 166 79 0.4759
8910.0000 167 79 0.4731
8954.0000 168 79 0.4702
9021.0000 169 79 0.4675
9077.0000 170 79 0.4647
9143.0000 171 79 0.4620
9204.0000 172 79 0.4593
9267.0000 173 79 0.4566
9326.0000 174 79 0.4540
9381.0000 175 79 0.4514
9431.0000 176 79 0.4489
9486.0000 177 79 0.4463
9545.0000 178 79 0.4438
9595.0000 179 79 0.4413
9652.0000 180 79 0.4389
9717.0000 181 79 0.4365
9773.0000 182 79 0.4341
9818.0000 183 79 0.4317
9887.0000 184 79 0.4293
9946.0000 185 79 0.4270
10009.0000 186 79 0.4247
10070.0000 187 79 0.4225
10083.5000 187 80 0.4278
10083.6000 187 81 0.4332
10083.7000 187 82 0.4385
10083.8000 187 83 0.4439
10083.9000 187 84 0.4492
10084.0000 187 85 0.4545
10084.1000 187 86 0.4599
10084.2000 187 87 0.4652
10084.3000 187 88 0.4706
10084.4000 187 89 0.4759
10084.5000 187 90 0.4813
10084.6000 187 91 0.4866
10084.7000 187 92 0.4920
10084.8000 187 93 0.4973
10084.9000 187 94 0.5027
10085.0000 187 95 0.5080
10085.1000 187 96 0.5134
10085.2000 187 97 0.5187
10085.3000 187 98 0.5241
10085.4000 187 99 0.5294
10085.5000 187 100 0.5348
10085.6000 187 101 0.5401
10085.7000 187 102 0.5455
10085.8000 187 103 0.5508
10085.9000 187 104 0.5561
10086.0000 187 105 0.5615
10137.0000 188 105 0.5585
10201.0000 189 105 0.5556
10263.0000 190 105 0.5526
10318.0000 191 105 0.5497
10363.0000 192 105 0.5469
10415.0000 193 105 0.5440
10455.0000 194 105 0.5412
10519.0000 195 105 0.5385
10580.0000 196 105 0.5357
10647.0000 197 105 0.5330
10695.0000 198 105 0.5303
10763.0000 199 105 0.5276
10830.0000 200 105 0.5250
10874.0000 201 105 0.5224
10926.0000 202 105 0.5198
10985.0000 203 105 0.5172
11038.0000 204 105 0.5147
11080.0000 205 105 0.5122
11126.0000 206 105 0.5097
11191.0000 207 105 0.5072
11257.0000 208 105 0.5048
11299.0000 209 105 0.5024
11344.0000 210 105 0.5000
11394.0000 211 105 0.4976
11455.0000 212 105 0.4953
11509.0000 213 105 0.4930
11574.0000 214 105 0.4907
11641.0000 215 105 0.4884
11706.0000 216 105 0.4861
11751.0000 217 105 0.4839
11820.0000 218 105 0.4817
11880.0000 219 105 0.4795
11937.0000 220 105 0.4773
12005.0000 221 105 0.4751
12070.0000 222 105 0.4730
12112.0000 223 105 0.4709
12174.0000 224 105 0.4688
12229.0000 225 105 0.4667
12271.0000 226 105 0.4646
12323.0000 227 105 0.4626
12390.0000 228 105 0.4605
12434.0000 229 105 0.4585
12482.0000 230 105 0.4565
12544.0000 231 105 0.4545
12586.0000 232 105 0.4526
12637.0000 233 105 0.4506
12693.0000 234 105 0.4487
12734.0000 235 105 0.4468
12794.0000 236 105 0.4449
12858.0000 237 105 0.4430
12925.0000 238 105 0.4412
12967.0000 239 105 0.4393
13014.0000 240 105 0.4375
13056.0000 241 105 0.4357
13097.0000 242 105 0.4339
13153.0000 243 105 0.4321
13195.0000 244 105 0.4303
13256.0000 245 105 0.4286
13323.0000 246 105 0.4268
13392.0000 247 105 0.4251
13448.0000 248 105 0.4234
13493.0000 249 105 0.4217
13557.0000 250 105 0.4200
13605.0000 251 105 0.4183
13673.0000 252 105 0.4167
